"scientific_name","common_name","source"
"Formica rufa","red wood ant","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Gadus","cod","JL"
"Galatheoidea","langostino","JL"
"Galeoides decadactylus","threadfin","FDA The Seafood List, 2023/07/21"
"Gari solida","pacific clam","FDA The Seafood List, 2023/07/21"
"Genyagnus monopterygius","stargazer","FDA The Seafood List, 2023/07/21"
"Genyonemus lineatus","croaker","FDA The Seafood List, 2023/07/21"
"Genypterus capensis","kingklip","SJ"
"Genypterus chilensis","kingklip","FDA The Seafood List, 2023/07/21"
"Genypterus maculatus","kingklip","FDA The Seafood List, 2023/07/21"
"Geothelphusa dehaani","japanese crab","FDA The Seafood List, 2023/07/21"
"Gibelion catla","catla","FDA The Seafood List, 2023/07/21"
"Girella nigricans","opaleye","FDA The Seafood List, 2023/07/21"
"Glycymeris decussata","bittersweet","FDA The Seafood List, 2023/07/21"
"Glycymeris glycymeris","dog cockle","SJ"
"Glycymeris laticostata","bittersweet","FDA The Seafood List, 2023/07/21"
"Glycymeris pilosa","cockle","FDA The Seafood List, 2023/07/21"
"Glycymeris violacescens","cockle","FDA The Seafood List, 2023/07/21"
"Glyptocephalus cynoglossus","witch","JL"
"Gnathophis cinctus","conger eel","FDA The Seafood List, 2023/07/21"
"Gobionotothen marionensis","icefish","FDA The Seafood List, 2023/07/21"
"Goniistius gibbosus","morwong","FDA The Seafood List, 2023/07/21"
"Goniistius spectabilis","morwong","FDA The Seafood List, 2023/07/21"
"Grammatorcynus bicarinatus","mackerel","FDA The Seafood List, 2023/07/21"
"Gryllodes sigillatus","tropical house cricket","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Gryllus","field cricket","BP"
"Gymnachirus melas","sole","FDA The Seafood List, 2023/07/21"
"Gymnothorax mareei","moray eel","FDA The Seafood List, 2023/07/21"
"Haemulon chrysargyreum","grunt","FDA The Seafood List, 2023/07/21"
"Haemulon melanurum","grunt","FDA The Seafood List, 2023/07/21"
"Haemulon scudderii","grunt","FDA The Seafood List, 2023/07/21"
"Haemulon steindachneri","grunt","FDA The Seafood List, 2023/07/21"
"Haliotis assimilis","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis australis","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis corrugata","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis fulgens","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis gigantea","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis iris","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis kamtschatkana","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis laevigata","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis pourtalesii","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis roei","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis rubra","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis rufescens","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis tuberculata","abalone","FDA The Seafood List, 2023/07/21"
"Haliotis walallensis","abalone","FDA The Seafood List, 2023/07/21"
"Haliporoides sibogae","shrimp","FDA The Seafood List, 2023/07/21"
"Haliporoides triarthrus","shrimp","FDA The Seafood List, 2023/07/21"
"Harengula thrissina","herring","FDA The Seafood List, 2023/07/21"
"Haustellum brandaris","merex","FDA The Seafood List, 2023/07/21"
"Helix pomatia","escargot","BP"
"Hemijana variegata","edible caterpillar","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Hermosilla azurea","perch","FDA The Seafood List, 2023/07/21"
"Heterobranchus longifilis","sampa","FDA The Seafood List, 2023/07/21"
"Heterobranchus longifilis x Clarias gariepinus","claresse","FDA The Seafood List, 2023/07/21"
"Heterocarpus laevigatus","shrimp","FDA The Seafood List, 2023/07/21"
"Heterocarpus vicarius","northern nylon shrimp","FDA The Seafood List, 2023/07/21"
"Hexagrammos octogrammus","greenling","FDA The Seafood List, 2023/07/21"
"Hippoglossina stomata","sole","FDA The Seafood List, 2023/07/21"
"Hippoidea","sand crab","JL"
"Holothuria fuscogilva","white teatfish","Australian Fisheries Management Authority"
"Holothuria mexicana","sea cucumber","FDA The Seafood List, 2023/07/21"
"Holothuria poli","sea cucumber","FDA The Seafood List, 2023/07/21"
"Holothuria tubulosa","sea cucumber","FDA The Seafood List, 2023/07/21"
"Holothuria whitmaei","black teatfish","Australian Fisheries Management Authority"
"Holothuroidea","sea cucumber","JL"
"Homarus americanus","lobster","BP"
"Homarus gammarus","lobster","FDA The Seafood List, 2023/07/21"
"Hoplopagrus guentherii","pargo","FDA The Seafood List, 2023/07/21"
"Hoplostethus atlanticus","orange roughy","JL"
"Hoplostethus mediterraneus mediterraneus","silver roughy","FDA The Seafood List, 2023/07/21"
"Hoplunnis diomediana","pike-conger eel","FDA The Seafood List, 2023/07/21"
"Hoplunnis macrura","pike-conger eel","FDA The Seafood List, 2023/07/21"
"Huso huso (fem) x Acipenser ruthenus (male)","sturgeon","FDA The Seafood List, 2023/07/21"
"Hyas araneus","spider crab","FDA The Seafood List, 2023/07/21"
"Hydrolagus novaezealandiae","chimaera","FDA The Seafood List, 2023/07/21"
"Hyperoglyphe bythites","driftfish","FDA The Seafood List, 2023/07/21"
"Hyperoglyphe perciformis","driftfish","FDA The Seafood List, 2023/07/21"
"Hyperoglyphe pringlei","butterfish","FDA The Seafood List, 2023/07/21"
"Hypoderma tarandi","caribou warble fly","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Hypsophrys nicaraguensis","cichlid","FDA The Seafood List, 2023/07/21"
"Ibacus ciliatus","slipper lobster","FDA The Seafood List, 2023/07/21"
